Dim_cm2,Date,Style_encoded,Artist_encoded,Medium_encoded,Cluster
849.42,1967,4,1358,730,1
1995.63,1976,4,3168,3704,2
1429.02,1913,1,642,745,1
3148.53,1938,8,2478,3642,2
967.74,1942,2,194,2386,1
2902.74,1922,8,1909,5109,0
8022.63,1913,1,1112,1870,1
1085.39,1906,1,2231,3748,0
5349.2,1960,4,257,1844,1
1739.5,1962,4,717,3048,1
1571.2,1935,8,1110,5230,0
2923.4,1905,1,1308,2161,1
873.6,1968,4,1358,730,1
2368.56,1974,4,100,3748,1
801.0,1922,8,82,3741,1
4332.0,1991,5,2802,589,2
3137.28,1938,8,2478,3642,2
5551.65,1919,1,2002,845,1
927.48,1918,1,2603,3748,0
6705.6,1947,2,332,4879,0
3306.6,1952,2,941,2251,1
2482.92,1957,2,168,5151,0
2787.7,1954,2,3526,3748,2
1564.46,1883,3,2564,426,2
5520.15,1962,4,3566,3586,2
205.74,1940,2,888,3748,0
1003.17,1967,4,2508,3652,0
3073.4,1938,8,2040,3115,2
601.72,1912,1,3596,2251,2
4304.08,1974,4,2661,4733,0
4305.3,1991,5,2802,2251,2
3099.15,1934,8,1116,468,1
741.52,1949,2,2824,2251,2
1339.8,1911,1,2365,3048,2
537.7,1900,3,62,2251,1
3191.24,1912,1,2564,3589,0
850.64,1955,2,168,5151,0
1005.98,1967,4,2508,3812,0
1348.08,1918,1,592,1875,1
3907.41,1988,5,2661,4782,0
3723.0,1959,2,2600,4660,0
4857.75,1938,8,2478,4877,0
980.07,1949,2,2824,2251,2
1552.32,1955,2,63,2181,1
1357.0,1917,1,799,468,1
3076.38,1957,2,1244,2251,1
4280.43,1967,4,558,3748,1
1378.0,1919,1,2169,2788,2
3648.54,1914,1,1105,1054,1
1505.75,1895,3,2629,5132,0
2081.04,1934,8,1116,468,1
4915.68,1941,2,2478,4893,0
1640.3,1920,8,835,5151,0
734.4,1942,2,2627,3748,0
5065.4,1964,4,779,1037,1
3073.4,1956,2,3484,482,2
3500.0,1989,5,244,2845,1
2093.48,1928,8,1843,2410,2
5174.8,1940,2,2478,1899,2
993.24,1936,8,1940,2034,2
464.35,1941,2,154,2251,1
1281.54,1950,2,218,965,1
684.72,1910,1,1843,5132,0
2675.91,1910,1,2362,5151,0
1518.33,1912,1,799,5265,0
1256.28,1920,8,1672,2149,2
1580.8,1908,1,2603,2251,2
582.54,1909,1,1308,2251,1
579.94,1917,1,1259,2251,1
2458.04,1949,2,2627,3846,0
3500.0,1988,5,244,2845,1
4891.8,1941,2,2478,4893,0
38351.25,1948,2,332,1926,1
594.3,1904,3,1843,2188,1
1237.6,1944,2,3532,2965,2
922.24,1966,4,3314,99,2
690.08,1962,4,2130,3588,0
7560.12,1964,4,171,3748,1
3500.0,1988,5,244,2845,1
702.99,1917,1,1164,3748,0
3108.78,1938,8,2478,3642,2
3665.61,1942,2,2672,1926,2
1084.02,1904,3,2657,5091,0
2133.25,1924,8,2587,1964,2
3486.0,1960,4,244,518,1
2806.08,1912,1,2196,2017,2
3220.0,1989,5,244,2845,1
4841.79,1938,8,2478,1899,2
1060.63,1942,2,2672,1926,2
1132.56,1910,1,189,2251,1
210.9,1896,3,2657,5151,0
4625.97,1961,4,3387,745,2
151.84,1917,1,3266,3748,2
1397.4,1976,4,1515,2017,1
3220.0,1989,5,244,2845,1
3274.53,1935,8,2672,1926,2
224.4,1896,3,2657,5091,0
127.82,1950,2,1747,2118,1
5316.96,1966,4,1659,730,1
1207.26,1902,3,2123,3748,0
906.3,1981,5,1626,3631,0
331.42,1908,1,1079,5230,0
5194.2,1941,2,2478,1899,2
6471.9,1921,8,2002,835,2
127.82,1950,2,1747,2118,1
967.26,1909,1,2642,2992,2
1027.52,1966,4,648,2149,1
807.72,1925,8,2123,745,2
695.4,1997,5,1626,3748,0
4589.32,1939,8,332,1930,1
1240.33,1941,2,2672,5092,0
766.16,1898,3,2114,5109,0
151.5,1950,2,1747,2118,1
2794.12,1908,1,2603,2018,2
1032.24,1920,8,267,718,1
698.45,1998,5,1626,3748,0
3340.5,1940,2,2886,2231,2
1523.22,1950,2,2672,628,2
1850.55,1952,2,2207,1874,2
1672.0,1922,8,2474,3136,2
4032.25,1959,2,1186,3148,1
706.8,1923,8,3167,2188,2
698.45,1998,5,1626,3748,0
1829.84,1929,8,2689,1908,2
706.8,1923,8,3167,5132,0
168592.9,1996,5,1050,5293,3
1516.06,1933,8,2689,3748,2
950.52,1921,8,82,745,1
3302.7,1928,8,1308,2251,1
1296.84,1960,4,2910,2133,2
1759.41,1961,4,2630,2188,2
42511.56,1987,5,3480,3758,2
1008.0,1939,8,375,1908,1
1486.74,1932,8,2689,3748,2
4304.08,1941,2,2962,3665,0
